iter	RMSE	R2
0	57.80100261	0.2642330453
1	50.24375297	0.444052632
2	44.5071546	0.5637562726
3	39.97073236	0.6481530859
4	36.60755929	0.7048715451
5	34.07785411	0.744250959
6	31.95090573	0.7751795137
7	30.44135294	0.7959214143
8	29.3354326	0.8104802263
9	28.42510528	0.8220599538
10	27.83119259	0.8294180132
11	27.07011347	0.8386200088
12	26.70837691	0.8429042167
13	26.26235273	0.8481073374
14	25.75368544	0.8539342783
15	25.2508749	0.8595821252
16	24.99382997	0.8624263824
17	24.63878703	0.8663071497
18	24.27041791	0.870274891
19	24.04820847	0.8726394309
20	23.83912751	0.874844411
21	23.54316232	0.8779327589
22	23.38331845	0.879584658
23	23.21914401	0.8812695961
24	23.01355187	0.8833628661
25	22.8145317	0.8853714886
26	22.58104487	0.8877057284
27	22.31835472	0.8903032182
28	22.15247142	0.8919278218
29	21.96819178	0.893718382
30	21.84265037	0.8949296441
31	21.65158662	0.896759764
32	21.48604062	0.8983324589
33	21.25793655	0.9004796836
34	21.12417137	0.9017282026
35	20.92249765	0.9035956589
36	20.68850183	0.90573996
37	20.48990998	0.9075409055
38	20.35535294	0.9087512741
39	20.17303008	0.9103785828
40	20.06673804	0.9113205282
41	19.84652824	0.9132561631
42	19.69009139	0.9146182604
43	19.56392062	0.9157089781
44	19.3764384	0.917316769
45	19.28635258	0.9180838111
46	19.1495809	0.91924153
47	19.06752927	0.919932111
48	18.96504379	0.9207905067
49	18.88634297	0.9214465471
50	18.7837301	0.9222978181
51	18.70557693	0.9229430615
52	18.49921455	0.9246338876
53	18.38543281	0.925558134
54	18.24282268	0.9267085002
55	18.13478567	0.9275740185
56	18.0358277	0.9283622906
57	17.87234464	0.9296551033
58	17.75604011	0.9305676651
59	17.69327708	0.9310576485
60	17.58892898	0.9318684411
61	17.42811229	0.9331086079
62	17.33048847	0.9338558952
63	17.18236756	0.9349817097
64	17.10476532	0.9355676791
65	17.03628695	0.9360825518
66	16.95213215	0.9367124631
67	16.83324066	0.9375970673
68	16.6671824	0.9388221921
69	16.58517618	0.9394227277
70	16.50674061	0.9399943439
71	16.39607416	0.9407962408
72	16.32051934	0.9413406179
73	16.25833302	0.9417867877
74	16.1819868	0.9423322217
75	16.13494946	0.9426669885
76	16.06306086	0.9431767401
77	15.96947637	0.9438369238
78	15.87424682	0.9445047525
79	15.78179355	0.9451492903
80	15.71141565	0.9456374061
81	15.5699379	0.9466120438
82	15.51019239	0.9470209819
83	15.41150721	0.9476930059
84	15.34895026	0.9481167834
85	15.24675058	0.9488054032
86	15.16309932	0.9493656203
87	15.07851571	0.9499289475
88	15.05549614	0.9500817124
89	14.95913613	0.9507186537
90	14.88076548	0.9512336693
91	14.78246771	0.9518758122
92	14.73203374	0.9522036267
93	14.66639982	0.9526285613
94	14.65454127	0.9527051348
95	14.52777211	0.9535198445
96	14.48407093	0.953799059
97	14.40632063	0.9542937398
98	14.30140021	0.9549570677
99	14.22640641	0.9554282221
100	14.20598301	0.9555561046
101	14.14640561	0.9559281027
102	14.03536804	0.9566172432
103	14.02096688	0.9567062244
104	13.9253917	0.9572944445
105	13.90590751	0.9574138668
106	13.78475767	0.9581526649
107	13.73209714	0.9584717846
108	13.656659	0.958926807
109	13.59010145	0.9593261828
110	13.49833352	0.9598736327
111	13.43439192	0.9602528894
112	13.37884662	0.9605808836
113	13.3178653	0.9609394125
114	13.27706954	0.9611783495
115	13.19775168	0.9616408089
116	13.14857853	0.9619261193
117	13.09509189	0.9622352481
118	13.05412866	0.9624711452
119	13.00567229	0.9627492391
120	12.97372234	0.962932036
121	12.94357008	0.9631041352
122	12.82327034	0.9637867809
123	12.79661056	0.9639372002
124	12.75623287	0.9641644221
125	12.69728112	0.9644948783
126	12.6484722	0.9647673203
127	12.52965747	0.965426135
128	12.4734702	0.9657355218
129	12.37597972	0.9662690391
130	12.33610035	0.9664860728
131	12.26978944	0.9668454029
132	12.20441387	0.9671977685
133	12.1683128	0.9673915418
134	12.08624747	0.9678298934
135	12.04891891	0.9680283023
136	11.99662237	0.9683052368
137	11.94402835	0.9685825317
138	11.89642566	0.96883246
139	11.83343172	0.9691616627
140	11.81927792	0.9692353892
141	11.78033641	0.9694377784
142	11.70044313	0.9698509137
143	11.65223367	0.9700988491
144	11.59326048	0.9704007489
145	11.53273109	0.9707090224
146	11.47920605	0.9709802786
147	11.43753597	0.9711905823
148	11.38600573	0.9714495912
149	11.32331321	0.9717631286
150	11.29016719	0.9719281987
151	11.23691422	0.9721923898
152	11.19401798	0.9724042923
153	11.16190282	0.972562407
154	11.12191558	0.9727586439
155	11.03365223	0.9731893022
156	10.98334537	0.9734332263
157	10.94068609	0.9736391961
158	10.90033779	0.9738332703
159	10.87368433	0.9739610794
160	10.81764513	0.974228779
161	10.77569521	0.9744282686
162	10.72968734	0.9746461644
163	10.69280742	0.9748201565
164	10.64979086	0.9750223432
165	10.60654841	0.9752247701
166	10.55623918	0.9754592417
167	10.51449835	0.9756529331
168	10.48435952	0.9757923102
169	10.44610852	0.975968626
170	10.42299763	0.9760748421
171	10.35527278	0.9763847459
172	10.30971798	0.9765920648
173	10.27769928	0.9767372342
174	10.24033468	0.9769060705
175	10.23586842	0.9769262106
176	10.19124024	0.9771269745
177	10.13491592	0.9773791023
178	10.11943861	0.9774481395
179	10.08781078	0.9775888888
180	10.01550626	0.9779090014
181	9.985689899	0.9780403363
182	9.949567142	0.978198925
183	9.90614492	0.9783887997
184	9.858944659	0.9785942528
185	9.779984058	0.9789357583
186	9.752131831	0.9790555644
187	9.725765294	0.9791686649
188	9.700837378	0.9792753128
189	9.689449379	0.9793239425
190	9.657568979	0.9794597761
191	9.631439655	0.9795707722
192	9.605265765	0.9796816561
193	9.585063368	0.9797670359
194	9.573374396	0.9798163539
195	9.535190108	0.9799770415
196	9.503059155	0.9801117578
197	9.487693598	0.9801760206
198	9.466483817	0.9802645548
199	9.431430305	0.9804104412
200	9.391226005	0.980577098
201	9.356132158	0.9807219887
202	9.324373594	0.9808526416
203	9.302066718	0.9809441452
204	9.277234113	0.9810457516
205	9.214343326	0.981301864
206	9.174516218	0.9814631524
207	9.132821355	0.9816312561
208	9.102085063	0.9817546871
209	9.082444393	0.9818333424
210	9.050790075	0.9819597514
211	9.010583415	0.9821196771
212	8.972817388	0.9822692464
213	8.945707428	0.982376226
214	8.927260086	0.9824488366
215	8.884523478	0.9826164763
216	8.847447602	0.9827612594
217	8.818095794	0.9828754503
218	8.788081669	0.9829918255
219	8.767897204	0.9830698645
220	8.731869463	0.9832087122
221	8.688927773	0.9833734589
222	8.644036759	0.9835448159
223	8.618220035	0.9836429609
224	8.603813654	0.9836976007
225	8.564735085	0.9838453556
226	8.547717775	0.9839094872
227	8.521121197	0.9840094641
228	8.504020945	0.9840735795
229	8.476271848	0.9841773475
230	8.44541466	0.9842923401
231	8.424070922	0.9843716343
232	8.405275147	0.9844412965
233	8.384953556	0.9845164387
234	8.343197102	0.9846702687
235	8.32356026	0.984742345
236	8.308115642	0.9847989145
237	8.28808872	0.9848721114
238	8.271471809	0.9849327108
239	8.240529787	0.9850452278
240	8.223677785	0.9851063307
241	8.177309742	0.9852738089
242	8.158410114	0.9853418014
243	8.143594011	0.9853949932
244	8.117648225	0.9854879091
245	8.092403982	0.9855780281
246	8.068520422	0.9856630312
247	8.04384023	0.9857506056
248	8.025313662	0.9858161684
249	8.001623783	0.9858997832
250	7.96744574	0.9860199809
251	7.930847924	0.9861481181
252	7.917874087	0.9861934008
253	7.901783178	0.98624946
254	7.881697368	0.9863192771
255	7.856491446	0.98640664
256	7.826740635	0.9865093952
257	7.804338981	0.9865865102
258	7.754503252	0.9867572707
259	7.724690977	0.9868588987
260	7.704870495	0.9869262486
261	7.686334609	0.9869890769
262	7.67930337	0.9870128701
263	7.644114523	0.9871316192
264	7.621429963	0.9872078819
265	7.602719123	0.9872706148
266	7.570548618	0.9873781144
267	7.541749632	0.9874739611
268	7.52415388	0.9875323422
269	7.503373741	0.9876011132
270	7.489400925	0.9876472488
271	7.475818653	0.9876920124
272	7.453990084	0.9877637834
273	7.415610237	0.9878894651
274	7.407251602	0.9879167509
275	7.390584296	0.9879710676
276	7.335593098	0.9881494092
277	7.303566345	0.9882526612
278	7.285011066	0.9883122755
279	7.261341282	0.9883881014
280	7.239291169	0.9884585168
281	7.202956445	0.9885740817
282	7.180976784	0.9886437072
283	7.151508839	0.9887367196
284	7.134667581	0.9887897055
285	7.121293271	0.9888316947
286	7.097447124	0.9889063652
287	7.08565334	0.988943203
288	7.068861951	0.9889955451
289	7.051825013	0.9890485257
290	7.036838763	0.9890950235
291	7.019171026	0.989149714
292	7.005023307	0.9891934093
293	6.985125896	0.9892547132
294	6.961207418	0.9893281753
295	6.941868061	0.989387389
296	6.92998563	0.9894236892
297	6.92324815	0.9894442443
298	6.906395823	0.9894955706
299	6.888012594	0.9895514169
300	6.858005462	0.9896422556
301	6.845610891	0.9896796612
302	6.834342943	0.989713608
303	6.80079307	0.9898143522
304	6.788695575	0.9898505571
305	6.77393491	0.989894645
306	6.763671852	0.9899252427
307	6.741091703	0.9899923985
308	6.719937738	0.9900551089
309	6.701035894	0.9901109762
310	6.680472367	0.9901715761
311	6.652673137	0.9902532033
312	6.634284012	0.9903070125
313	6.61598379	0.9903604136
314	6.608999558	0.9903807551
315	6.603309228	0.9903973123
316	6.592215433	0.9904295509
317	6.570359392	0.990492906
318	6.548402811	0.9905563408
319	6.539758586	0.9905812565
320	6.516237573	0.9906488859
321	6.491647022	0.99071933
322	6.470243128	0.9907804285
323	6.437369598	0.9908738748
324	6.412640437	0.9909438561
325	6.396732796	0.990988731
326	6.374973444	0.9910499328
327	6.361183755	0.9910886107
328	6.351776099	0.9911149496
329	6.334123724	0.9911642663
330	6.32400033	0.9911924868
331	6.308028973	0.9912369176
332	6.296446748	0.991269068
333	6.273579829	0.9913323694
334	6.260555891	0.99136832
335	6.24739928	0.991404561
336	6.228464426	0.9914565848
337	6.211542438	0.9915029446
338	6.197643723	0.9915409275
339	6.190929602	0.9915592455
340	6.178873174	0.9915920892
341	6.164180786	0.991632027
342	6.149450393	0.9916719727
343	6.120568799	0.9917500161
344	6.110227912	0.9917778697
345	6.103382867	0.9917962812
346	6.087897055	0.9918378582
347	6.06450084	0.991900473
348	6.048063444	0.9919443199
349	6.036105419	0.9919761432
350	6.014131664	0.9920344568
351	5.987226444	0.9921055677
352	5.976754417	0.9921331593
353	5.966355038	0.9921605116
354	5.952954448	0.9921956875
355	5.934342296	0.9922444122
356	5.921744024	0.9922773065
357	5.904486391	0.9923222532
358	5.875859116	0.9923965222
359	5.861350083	0.9924340258
360	5.841966978	0.9924839834
361	5.821638817	0.992536199
362	5.806829748	0.9925741235
363	5.784462675	0.9926312202
364	5.766191123	0.9926776986
365	5.751631255	0.9927146301
366	5.742412658	0.9927379651
367	5.729369919	0.9927709161
368	5.72355735	0.9927855768
369	5.710247342	0.9928190918
370	5.696222593	0.992854322
371	5.681738145	0.9928906161
372	5.6627668	0.9929380134
373	5.650100798	0.9929695694
374	5.623014518	0.9930368148
375	5.605530334	0.9930800501
376	5.58892704	0.9931209825
377	5.580726036	0.9931411557
378	5.568213315	0.9931718781
379	5.557096142	0.9931991162
380	5.544332115	0.993230322
381	5.530090015	0.9932650568
382	5.515230267	0.9933012027
383	5.495535542	0.9933489597
384	5.479820417	0.9933869442
385	5.467217364	0.993417328
386	5.462918115	0.9934276767
387	5.453893519	0.9934493734
388	5.438486615	0.9934863313
389	5.427542735	0.9935125199
390	5.417162851	0.9935373101
391	5.39323874	0.9935942671
392	5.380691461	0.9936240381
393	5.355038071	0.9936846902
394	5.339995804	0.9937201197
395	5.328193158	0.993747849
396	5.317603741	0.9937726758
397	5.313450215	0.9937824002
398	5.302277731	0.9938085199
399	5.295995139	0.9938231836
400	5.287639658	0.9938426586
401	5.274560668	0.9938730813
402	5.256978414	0.9939138602
403	5.248503803	0.993933467
404	5.232420809	0.9939705894
405	5.221120489	0.9939966043
406	5.214231647	0.9940124359
407	5.201155778	0.9940424286
408	5.18829241	0.9940718604
409	5.174000381	0.9941044755
410	5.166818589	0.9941208308
411	5.157871277	0.9941411749
412	5.150112375	0.9941587883
413	5.143134309	0.9941746065
414	5.134594232	0.9941939364
415	5.130049133	0.9942042108
416	5.126483179	0.9942122654
417	5.112245634	0.9942443688
418	5.095000351	0.9942831345
419	5.084394674	0.9943069101
420	5.076232908	0.9943251731
421	5.064941496	0.9943503909
422	5.050969392	0.9943815178
423	5.035886026	0.9944150239
424	5.023000178	0.994443569
425	5.017410876	0.9944559279
426	5.007283142	0.9944782869
427	4.998721227	0.9944971539
428	4.993592807	0.9945084393
429	4.978844882	0.9945408286
430	4.967083782	0.9945665896
431	4.956341468	0.9945900659
432	4.941834431	0.9946216889
433	4.936326106	0.9946336719
434	4.928358965	0.9946509803
435	4.916613033	0.9946764469
436	4.914740473	0.9946805012
437	4.905073705	0.9947014064
438	4.886826236	0.9947407559
439	4.877155077	0.9947615517
440	4.864976722	0.99478768
441	4.856398113	0.994806046
442	4.850449631	0.9948187621
