iter	Passed	Remaining
0	40	40298
1	61	30729
2	111	37134
3	134	33490
4	149	29826
5	166	27644
6	185	26268
7	203	25258
8	222	24533
9	242	23959
10	261	23515
11	326	26888
12	355	27006
13	378	26648
14	400	26322
15	422	26000
16	445	25776
17	469	25595
18	492	25446
19	516	25320
20	537	25056
21	559	24856
22	578	24585
23	598	24320
24	616	24052
25	635	23804
26	653	23568
27	673	23366
28	693	23215
29	712	23027
30	731	22858
31	750	22702
32	770	22564
33	789	22420
34	808	22282
35	826	22121
36	844	21987
37	863	21868
38	884	21782
39	903	21693
40	922	21570
41	941	21476
42	960	21383
43	980	21304
44	1006	21351
45	1048	21746
46	1082	21947
47	1103	21888
48	1123	21797
49	1142	21701
50	1163	21647
51	1184	21590
52	1205	21545
53	1226	21495
54	1246	21420
55	1265	21339
56	1285	21270
57	1306	21219
58	1329	21202
59	1350	21156
60	1373	21140
61	1394	21092
62	1414	21044
63	1439	21059
64	1463	21045
65	1483	20993
66	1507	20985
67	1528	20950
68	1553	20958
69	1579	20979
70	1600	20943
71	1626	20961
72	1721	21861
73	1818	22751
74	1840	22695
75	1861	22633
76	1881	22554
77	1900	22463
78	1919	22376
79	1938	22288
80	1957	22210
81	1977	22138
82	1996	22061
83	2016	21985
84	2035	21909
85	2054	21831
86	2073	21758
87	2092	21684
88	2111	21610
89	2130	21541
90	2148	21458
91	2167	21393
92	2185	21309
93	2202	21226
94	2206	21020
95	2225	20956
96	2243	20882
97	2262	20822
98	2279	20746
99	2298	20689
100	2317	20629
101	2335	20559
102	2354	20500
103	2372	20439
104	2391	20385
105	2408	20312
106	2428	20265
107	2447	20212
108	2466	20163
109	2485	20112
110	2505	20066
111	2525	20023
112	2544	19977
113	2564	19930
114	2584	19887
115	2603	19841
116	2624	19803
117	2643	19756
118	2662	19713
119	2681	19664
120	2702	19634
121	2722	19596
122	2745	19574
123	2765	19537
124	2787	19509
125	2807	19471
126	2827	19437
127	2848	19404
128	2867	19361
129	2888	19333
130	2907	19288
131	2926	19247
132	2946	19206
133	2967	19179
134	2987	19144
135	3007	19105
136	3026	19066
137	3046	19026
138	3065	18988
139	3084	18948
140	3103	18906
141	3123	18870
142	3143	18839
143	3162	18802
144	3182	18768
145	3203	18740
146	3224	18709
147	3243	18673
148	3265	18651
149	3287	18630
150	3308	18602
151	3328	18570
152	3348	18537
153	3369	18510
154	3390	18481
155	3411	18455
156	3434	18441
157	3455	18414
158	3475	18383
159	3494	18346
160	3514	18313
161	3534	18284
162	3554	18252
163	3573	18215
164	3592	18181
165	3611	18146
166	3632	18118
167	3652	18086
168	3671	18052
169	3690	18016
170	3710	17986
171	3729	17954
172	3748	17920
173	3767	17884
174	3786	17849
175	3806	17820
176	3825	17788
177	3845	17756
178	3863	17718
179	3882	17685
180	3901	17654
181	3920	17619
182	3939	17589
183	3959	17558
184	3978	17525
185	3996	17489
186	4015	17455
187	4032	17415
188	4049	17375
189	4068	17342
190	4085	17303
191	4103	17270
192	4123	17240
193	4140	17202
194	4159	17172
195	4178	17141
196	4198	17113
197	4217	17081
198	4239	17065
199	4258	17035
200	4275	16997
201	4295	16969
202	4314	16939
203	4333	16907
204	4352	16877
205	4371	16850
206	4389	16815
207	4408	16787
208	4427	16757
209	4446	16726
210	4465	16697
211	4482	16659
212	4501	16631
213	4520	16603
214	4539	16573
215	4558	16545
216	4577	16516
217	4594	16482
218	4613	16453
219	4632	16425
220	4650	16393
221	4670	16366
222	4689	16339
223	4708	16310
224	4726	16278
225	4745	16251
226	4763	16221
227	4783	16195
228	4802	16170
229	4822	16144
230	4842	16121
231	4862	16097
232	4882	16071
233	4902	16047
234	4926	16038
235	4949	16024
236	4974	16013
237	4995	15995
238	5017	15975
239	5039	15959
240	5059	15934
241	5080	15912
242	5099	15885
243	5118	15858
244	5138	15834
245	5157	15807
246	5175	15778
247	5196	15756
248	5215	15731
249	5234	15703
250	5253	15678
251	5273	15653
252	5292	15625
253	5311	15599
254	5330	15572
255	5349	15546
256	5368	15520
257	5387	15494
258	5407	15471
259	5427	15447
260	5447	15423
261	5464	15391
262	5481	15361
263	5500	15334
264	5518	15306
265	5538	15282
266	5559	15261
267	5579	15239
268	5598	15215
269	5624	15207
270	5643	15181
271	5662	15156
272	5682	15132
273	5703	15112
274	5723	15088
275	5741	15061
276	5763	15042
277	5783	15019
278	5802	14994
279	5820	14966
280	5839	14941
281	5858	14917
282	5877	14892
283	5897	14868
284	5917	14844
285	5935	14818
286	5955	14794
287	5974	14769
288	5993	14744
